纬度,经度,地点,项目,形式
33.163,131.671,东北九州（两丰）,"区分 PJR {*ui, *oi}, *ǝi",不区分
32.334,131.605,东南九州（日向）,"区分 PJR {*ui, *oi}, *ǝi",不区分
32.779,130.714,西九州（肥筑）,"区分 PJR {*ui, *oi}, *ǝi",不区分
31.2793,130.3253,南九州（萨隅）,"区分 PJR {*ui, *oi}, *ǝi",不区分
28.358,129.396,北琉球（奄美）,"区分 PJR {*ui, *oi}, *ǝi",区分
26.22,127.715,北琉球（冲绳）,"区分 PJR {*ui, *oi}, *ǝi",区分
24.794,125.293,南琉球（宫古）,"区分 PJR {*ui, *oi}, *ǝi",区分
24.345,124.159,南琉球（八重山）,"区分 PJR {*ui, *oi}, *ǝi",区分
41.286,141.212,下北半岛,高元音清化倾向,存在
40.195,141.762,东岩手,高元音清化倾向,存在
35.196,133.449,出云周边（东）,高元音清化倾向,存在
35.034,132.381,出云周边（西）,高元音清化倾向,存在
40.142,140.804,北东北,高元音清化倾向,存在
38.244,140.94,南东北,高元音清化倾向,存在
36.378,140.457,东关东,高元音清化倾向,存在
35.3606 ,132.7739 ,中央出云,高元音清化倾向,存在
34.7431 ,139.2376 ,北部伊豆,高元音清化倾向,存在
33.066,139.813,八丈,高元音清化倾向,存在
35.419,139.629,西关东,高元音清化倾向,存在
35.699,140.851,房总半岛,高元音清化倾向,存在
37.362,138.553,越后,高元音清化倾向,存在
36.398,138.251,长山东静,高元音清化倾向,不存在
34.763,137.874,西静冈,高元音清化倾向,不存在
36.699,137.205,富山,高元音清化倾向,存在
36.593,136.593,石川,高元音清化倾向,存在
35.471,136.777,岐爱,高元音清化倾向,不存在
35.01,135.755,近畿,高元音清化倾向,不存在
33.955,135.739,十津川,高元音清化倾向,存在
34.094,134.578,东四国,高元音清化倾向,不存在
33.544,133.508,南四国,高元音清化倾向,不存在
33.815,132.732,西四国,高元音清化倾向,不存在
34.374,132.439,中国,高元音清化倾向,不存在
33.163,131.671,东北九州（两丰）,高元音清化倾向,存在
32.334,131.605,东南九州（日向）,高元音清化倾向,存在
32.779,130.714,西九州（肥筑）,高元音清化倾向,存在
31.498,130.946,南九州（萨隅）,高元音清化倾向,存在
28.358,129.396,北琉球（奄美）,高元音清化倾向,存在
26.22,127.715,北琉球（冲绳）,高元音清化倾向,存在
24.794,125.293,南琉球（宫古）,高元音清化倾向,存在
24.345,124.159,南琉球（八重山）,高元音清化倾向,存在
41.286,141.212,下北半岛,单音节词元音延长,否
40.195,141.762,东岩手,单音节词元音延长,否
35.196,133.449,出云周边（东）,单音节词元音延长,否
35.034,132.381,出云周边（西）,单音节词元音延长,否
40.142,140.804,北东北,单音节词元音延长,否
38.244,140.94,南东北,单音节词元音延长,否
36.378,140.457,东关东,单音节词元音延长,否
35.3606 ,132.7739 ,中央出云,单音节词元音延长,否
34.7431 ,139.2376 ,北部伊豆,单音节词元音延长,否
33.066,139.813,八丈,单音节词元音延长,否
35.419,139.629,西关东,单音节词元音延长,否
35.699,140.851,房总半岛,单音节词元音延长,否
37.362,138.553,越后,单音节词元音延长,否
36.398,138.251,长山东静,单音节词元音延长,否
34.763,137.874,西静冈,单音节词元音延长,否
36.699,137.205,富山,单音节词元音延长,是
36.593,136.593,石川,单音节词元音延长,是
35.471,136.777,岐爱,单音节词元音延长,是
35.01,135.755,近畿,单音节词元音延长,是
33.955,135.739,十津川,单音节词元音延长,是
34.094,134.578,东四国,单音节词元音延长,独用时
33.544,133.508,南四国,单音节词元音延长,独用时
33.815,132.732,西四国,单音节词元音延长,独用时
34.374,132.439,中国,单音节词元音延长,独用时
33.163,131.671,东北九州（两丰）,单音节词元音延长,否
32.334,131.605,东南九州（日向）,单音节词元音延长,否
32.779,130.714,西九州（肥筑）,单音节词元音延长,是
31.498,130.946,南九州（萨隅）,单音节词元音延长,是
28.358,129.396,北琉球（奄美）,单音节词元音延长,是
26.22,127.715,北琉球（冲绳）,单音节词元音延长,是
24.794,125.293,南琉球（宫古）,单音节词元音延长,是
24.345,124.159,南琉球（八重山）,单音节词元音延长,是
41.286,141.212,下北半岛,"/e, o/ 略高",是
40.195,141.762,东岩手,"/e, o/ 略高",是
35.196,133.449,出云周边（东）,"/e, o/ 略高",是
35.034,132.381,出云周边（西）,"/e, o/ 略高",是
40.142,140.804,北东北,"/e, o/ 略高",是
38.244,140.94,南东北,"/e, o/ 略高",是
36.378,140.457,东关东,"/e, o/ 略高",是
35.3606 ,132.7739 ,中央出云,"/e, o/ 略高",是
34.7431 ,139.2376 ,北部伊豆,"/e, o/ 略高",否
33.066,139.813,八丈,"/e, o/ 略高",否
35.419,139.629,西关东,"/e, o/ 略高",否
35.699,140.851,房总半岛,"/e, o/ 略高",否
37.362,138.553,越后,"/e, o/ 略高",否
36.398,138.251,长山东静,"/e, o/ 略高",否
34.763,137.874,西静冈,"/e, o/ 略高",否
36.699,137.205,富山,"/e, o/ 略高",是
36.593,136.593,石川,"/e, o/ 略高",是
35.471,136.777,岐爱,"/e, o/ 略高",否
35.01,135.755,近畿,"/e, o/ 略高",否
33.955,135.739,十津川,"/e, o/ 略高",否
34.094,134.578,东四国,"/e, o/ 略高",否
33.544,133.508,南四国,"/e, o/ 略高",否
33.815,132.732,西四国,"/e, o/ 略高",否
34.374,132.439,中国,"/e, o/ 略高",否
33.163,131.671,东北九州（两丰）,"/e, o/ 略高",否
32.334,131.605,东南九州（日向）,"/e, o/ 略高",否
32.779,130.714,西九州（肥筑）,"/e, o/ 略高",否
31.498,130.946,南九州（萨隅）,"/e, o/ 略高",否
28.358,129.396,北琉球（奄美）,"/e, o/ 略高",否
26.22,127.715,北琉球（冲绳）,"/e, o/ 略高",否
24.794,125.293,南琉球（宫古）,"/e, o/ 略高",否
24.345,124.159,南琉球（八重山）,"/e, o/ 略高",否
41.286,141.212,下北半岛,词首、元音后 /i/ 低化 > /e/,否
40.195,141.762,东岩手,词首、元音后 /i/ 低化 > /e/,否
35.196,133.449,出云周边（东）,词首、元音后 /i/ 低化 > /e/,否
35.034,132.381,出云周边（西）,词首、元音后 /i/ 低化 > /e/,否
40.142,140.804,北东北,词首、元音后 /i/ 低化 > /e/,是
38.244,140.94,南东北,词首、元音后 /i/ 低化 > /e/,是
36.378,140.457,东关东,词首、元音后 /i/ 低化 > /e/,是
35.3606 ,132.7739 ,中央出云,词首、元音后 /i/ 低化 > /e/,是
34.7431 ,139.2376 ,北部伊豆,词首、元音后 /i/ 低化 > /e/,否
33.066,139.813,八丈,词首、元音后 /i/ 低化 > /e/,否
35.419,139.629,西关东,词首、元音后 /i/ 低化 > /e/,否
35.699,140.851,房总半岛,词首、元音后 /i/ 低化 > /e/,否
37.362,138.553,越后,词首、元音后 /i/ 低化 > /e/,否
36.398,138.251,长山东静,词首、元音后 /i/ 低化 > /e/,否
34.763,137.874,西静冈,词首、元音后 /i/ 低化 > /e/,否
36.699,137.205,富山,词首、元音后 /i/ 低化 > /e/,是
36.593,136.593,石川,词首、元音后 /i/ 低化 > /e/,是
35.471,136.777,岐爱,词首、元音后 /i/ 低化 > /e/,否
35.01,135.755,近畿,词首、元音后 /i/ 低化 > /e/,否
33.955,135.739,十津川,词首、元音后 /i/ 低化 > /e/,否
34.094,134.578,东四国,词首、元音后 /i/ 低化 > /e/,否
33.544,133.508,南四国,词首、元音后 /i/ 低化 > /e/,否
33.815,132.732,西四国,词首、元音后 /i/ 低化 > /e/,否
34.374,132.439,中国,词首、元音后 /i/ 低化 > /e/,否
33.163,131.671,东北九州（两丰）,词首、元音后 /i/ 低化 > /e/,否
32.334,131.605,东南九州（日向）,词首、元音后 /i/ 低化 > /e/,否
32.779,130.714,西九州（肥筑）,词首、元音后 /i/ 低化 > /e/,否
31.498,130.946,南九州（萨隅）,词首、元音后 /i/ 低化 > /e/,否
28.358,129.396,北琉球（奄美）,词首、元音后 /i/ 低化 > /e/,否
26.22,127.715,北琉球（冲绳）,词首、元音后 /i/ 低化 > /e/,否
24.794,125.293,南琉球（宫古）,词首、元音后 /i/ 低化 > /e/,否
24.345,124.159,南琉球（八重山）,词首、元音后 /i/ 低化 > /e/,否
41.286,141.212,下北半岛,词首、某些辅音后词首 /u/ 低化 > /o/,否
40.195,141.762,东岩手,词首、某些辅音后词首 /u/ 低化 > /o/,否
35.196,133.449,出云周边（东）,词首、某些辅音后词首 /u/ 低化 > /o/,否
35.034,132.381,出云周边（西）,词首、某些辅音后词首 /u/ 低化 > /o/,否
40.142,140.804,北东北,词首、某些辅音后词首 /u/ 低化 > /o/,是
38.244,140.94,南东北,词首、某些辅音后词首 /u/ 低化 > /o/,是
36.378,140.457,东关东,词首、某些辅音后词首 /u/ 低化 > /o/,是
35.3606 ,132.7739 ,中央出云,词首、某些辅音后词首 /u/ 低化 > /o/,是
34.7431 ,139.2376 ,北部伊豆,词首、某些辅音后词首 /u/ 低化 > /o/,否
33.066,139.813,八丈,词首、某些辅音后词首 /u/ 低化 > /o/,否
35.419,139.629,西关东,词首、某些辅音后词首 /u/ 低化 > /o/,否
35.699,140.851,房总半岛,词首、某些辅音后词首 /u/ 低化 > /o/,否
37.362,138.553,越后,词首、某些辅音后词首 /u/ 低化 > /o/,否
36.398,138.251,长山东静,词首、某些辅音后词首 /u/ 低化 > /o/,否
34.763,137.874,西静冈,词首、某些辅音后词首 /u/ 低化 > /o/,否
36.699,137.205,富山,词首、某些辅音后词首 /u/ 低化 > /o/,否
36.593,136.593,石川,词首、某些辅音后词首 /u/ 低化 > /o/,否
35.471,136.777,岐爱,词首、某些辅音后词首 /u/ 低化 > /o/,否
35.01,135.755,近畿,词首、某些辅音后词首 /u/ 低化 > /o/,否
33.955,135.739,十津川,词首、某些辅音后词首 /u/ 低化 > /o/,否
34.094,134.578,东四国,词首、某些辅音后词首 /u/ 低化 > /o/,否
33.544,133.508,南四国,词首、某些辅音后词首 /u/ 低化 > /o/,否
33.815,132.732,西四国,词首、某些辅音后词首 /u/ 低化 > /o/,否
34.374,132.439,中国,词首、某些辅音后词首 /u/ 低化 > /o/,否
33.163,131.671,东北九州（两丰）,词首、某些辅音后词首 /u/ 低化 > /o/,否
32.334,131.605,东南九州（日向）,词首、某些辅音后词首 /u/ 低化 > /o/,否
32.779,130.714,西九州（肥筑）,词首、某些辅音后词首 /u/ 低化 > /o/,否
31.498,130.946,南九州（萨隅）,词首、某些辅音后词首 /u/ 低化 > /o/,否
28.358,129.396,北琉球（奄美）,词首、某些辅音后词首 /u/ 低化 > /o/,否
26.22,127.715,北琉球（冲绳）,词首、某些辅音后词首 /u/ 低化 > /o/,否
24.794,125.293,南琉球（宫古）,词首、某些辅音后词首 /u/ 低化 > /o/,否
24.345,124.159,南琉球（八重山）,词首、某些辅音后词首 /u/ 低化 > /o/,否
41.286,141.212,下北半岛,高元音央化,是
40.195,141.762,东岩手,高元音央化,是
35.196,133.449,出云周边（东）,高元音央化,是
35.034,132.381,出云周边（西）,高元音央化,是
40.142,140.804,北东北,高元音央化,是
38.244,140.94,南东北,高元音央化,是
36.378,140.457,东关东,高元音央化,是
35.3606 ,132.7739 ,中央出云,高元音央化,是
34.7431 ,139.2376 ,北部伊豆,高元音央化,否
33.066,139.813,八丈,高元音央化,否
35.419,139.629,西关东,高元音央化,否
35.699,140.851,房总半岛,高元音央化,是
37.362,138.553,越后,高元音央化,否
36.398,138.251,长山东静,高元音央化,否
34.763,137.874,西静冈,高元音央化,否
36.699,137.205,富山,高元音央化,是
36.593,136.593,石川,高元音央化,是
35.471,136.777,岐爱,高元音央化,否
35.01,135.755,近畿,高元音央化,否
33.955,135.739,十津川,高元音央化,否
34.094,134.578,东四国,高元音央化,否
33.544,133.508,南四国,高元音央化,否
33.815,132.732,西四国,高元音央化,否
34.374,132.439,中国,高元音央化,否
33.163,131.671,东北九州（两丰）,高元音央化,否
32.334,131.605,东南九州（日向）,高元音央化,否
32.779,130.714,西九州（肥筑）,高元音央化,否
31.498,130.946,南九州（萨隅）,高元音央化,否
28.358,129.396,北琉球（奄美）,高元音央化,否
26.22,127.715,北琉球（冲绳）,高元音央化,否
24.794,125.293,南琉球（宫古）,高元音央化,否
24.345,124.159,南琉球（八重山）,高元音央化,否
41.286,141.212,下北半岛,舌冠音后高元音合流,是
40.195,141.762,东岩手,舌冠音后高元音合流,否
35.196,133.449,出云周边（东）,舌冠音后高元音合流,否
35.034,132.381,出云周边（西）,舌冠音后高元音合流,否
40.142,140.804,北东北,舌冠音后高元音合流,是
38.244,140.94,南东北,舌冠音后高元音合流,是
36.378,140.457,东关东,舌冠音后高元音合流,否
35.3606 ,132.7739 ,中央出云,舌冠音后高元音合流,是
34.7431 ,139.2376 ,北部伊豆,舌冠音后高元音合流,否
33.066,139.813,八丈,舌冠音后高元音合流,否
35.419,139.629,西关东,舌冠音后高元音合流,否
35.699,140.851,房总半岛,舌冠音后高元音合流,否
37.362,138.553,越后,舌冠音后高元音合流,否
36.398,138.251,长山东静,舌冠音后高元音合流,否
34.763,137.874,西静冈,舌冠音后高元音合流,否
36.699,137.205,富山,舌冠音后高元音合流,是
36.593,136.593,石川,舌冠音后高元音合流,是
35.471,136.777,岐爱,舌冠音后高元音合流,否
35.01,135.755,近畿,舌冠音后高元音合流,否
33.955,135.739,十津川,舌冠音后高元音合流,否
34.094,134.578,东四国,舌冠音后高元音合流,否
33.544,133.508,南四国,舌冠音后高元音合流,否
33.815,132.732,西四国,舌冠音后高元音合流,否
34.374,132.439,中国,舌冠音后高元音合流,否
33.163,131.671,东北九州（两丰）,舌冠音后高元音合流,否
32.334,131.605,东南九州（日向）,舌冠音后高元音合流,否
32.779,130.714,西九州（肥筑）,舌冠音后高元音合流,否
31.498,130.946,南九州（萨隅）,舌冠音后高元音合流,否
28.358,129.396,北琉球（奄美）,舌冠音后高元音合流,否
26.22,127.715,北琉球（冲绳）,舌冠音后高元音合流,否
24.794,125.293,南琉球（宫古）,舌冠音后高元音合流,否
24.345,124.159,南琉球（八重山）,舌冠音后高元音合流,否
41.286,141.212,下北半岛,保留鼻冠浊塞音,否
40.195,141.762,东岩手,保留鼻冠浊塞音,否
35.196,133.449,出云周边（东）,保留鼻冠浊塞音,否
35.034,132.381,出云周边（西）,保留鼻冠浊塞音,否
40.142,140.804,北东北,保留鼻冠浊塞音,是
38.244,140.94,南东北,保留鼻冠浊塞音,是
36.378,140.457,东关东,保留鼻冠浊塞音,否
35.3606 ,132.7739 ,中央出云,保留鼻冠浊塞音,否
34.7431 ,139.2376 ,北部伊豆,保留鼻冠浊塞音,否
33.066,139.813,八丈,保留鼻冠浊塞音,否
35.419,139.629,西关东,保留鼻冠浊塞音,否
35.699,140.851,房总半岛,保留鼻冠浊塞音,否
37.362,138.553,越后,保留鼻冠浊塞音,否
36.398,138.251,长山东静,保留鼻冠浊塞音,否
34.763,137.874,西静冈,保留鼻冠浊塞音,否
36.699,137.205,富山,保留鼻冠浊塞音,否
36.593,136.593,石川,保留鼻冠浊塞音,否
35.471,136.777,岐爱,保留鼻冠浊塞音,否
35.01,135.755,近畿,保留鼻冠浊塞音,否
33.955,135.739,十津川,保留鼻冠浊塞音,是
34.094,134.578,东四国,保留鼻冠浊塞音,否
33.544,133.508,南四国,保留鼻冠浊塞音,是
33.815,132.732,西四国,保留鼻冠浊塞音,否
34.374,132.439,中国,保留鼻冠浊塞音,否
33.163,131.671,东北九州（两丰）,保留鼻冠浊塞音,否
32.334,131.605,东南九州（日向）,保留鼻冠浊塞音,否
32.779,130.714,西九州（肥筑）,保留鼻冠浊塞音,否
31.498,130.946,南九州（萨隅）,保留鼻冠浊塞音,否
28.358,129.396,北琉球（奄美）,保留鼻冠浊塞音,否
26.22,127.715,北琉球（冲绳）,保留鼻冠浊塞音,否
24.794,125.293,南琉球（宫古）,保留鼻冠浊塞音,否
24.345,124.159,南琉球（八重山）,保留鼻冠浊塞音,否
41.286,141.212,下北半岛,"词中 /t, k/ 浊化",否
40.195,141.762,东岩手,"词中 /t, k/ 浊化",否
35.196,133.449,出云周边（东）,"词中 /t, k/ 浊化",否
35.034,132.381,出云周边（西）,"词中 /t, k/ 浊化",否
40.142,140.804,北东北,"词中 /t, k/ 浊化",是
38.244,140.94,南东北,"词中 /t, k/ 浊化",是
36.378,140.457,东关东,"词中 /t, k/ 浊化",否
35.3606 ,132.7739 ,中央出云,"词中 /t, k/ 浊化",否
34.7431 ,139.2376 ,北部伊豆,"词中 /t, k/ 浊化",否
33.066,139.813,八丈,"词中 /t, k/ 浊化",否
35.419,139.629,西关东,"词中 /t, k/ 浊化",否
35.699,140.851,房总半岛,"词中 /t, k/ 浊化",否
37.362,138.553,越后,"词中 /t, k/ 浊化",否
36.398,138.251,长山东静,"词中 /t, k/ 浊化",否
34.763,137.874,西静冈,"词中 /t, k/ 浊化",否
36.699,137.205,富山,"词中 /t, k/ 浊化",否
36.593,136.593,石川,"词中 /t, k/ 浊化",否
35.471,136.777,岐爱,"词中 /t, k/ 浊化",否
35.01,135.755,近畿,"词中 /t, k/ 浊化",否
33.955,135.739,十津川,"词中 /t, k/ 浊化",否
34.094,134.578,东四国,"词中 /t, k/ 浊化",否
33.544,133.508,南四国,"词中 /t, k/ 浊化",否
33.815,132.732,西四国,"词中 /t, k/ 浊化",否
34.374,132.439,中国,"词中 /t, k/ 浊化",否
33.163,131.671,东北九州（两丰）,"词中 /t, k/ 浊化",否
32.334,131.605,东南九州（日向）,"词中 /t, k/ 浊化",否
32.779,130.714,西九州（肥筑）,"词中 /t, k/ 浊化",否
31.498,130.946,南九州（萨隅）,"词中 /t, k/ 浊化",是
28.358,129.396,北琉球（奄美）,"词中 /t, k/ 浊化",否
26.22,127.715,北琉球（冲绳）,"词中 /t, k/ 浊化",否
24.794,125.293,南琉球（宫古）,"词中 /t, k/ 浊化",否
24.345,124.159,南琉球（八重山）,"词中 /t, k/ 浊化",否
41.286,141.212,下北半岛,/e/ 高化,否
40.195,141.762,东岩手,/e/ 高化,否
35.196,133.449,出云周边（东）,/e/ 高化,否
35.034,132.381,出云周边（西）,/e/ 高化,否
40.142,140.804,北东北,/e/ 高化,否
38.244,140.94,南东北,/e/ 高化,否
36.378,140.457,东关东,/e/ 高化,否
35.3606 ,132.7739 ,中央出云,/e/ 高化,否
34.7431 ,139.2376 ,北部伊豆,/e/ 高化,否
33.066,139.813,八丈,/e/ 高化,否
35.419,139.629,西关东,/e/ 高化,否
35.699,140.851,房总半岛,/e/ 高化,否
37.362,138.553,越后,/e/ 高化,否
36.398,138.251,长山东静,/e/ 高化,否
34.763,137.874,西静冈,/e/ 高化,否
36.699,137.205,富山,/e/ 高化,否
36.593,136.593,石川,/e/ 高化,否
35.471,136.777,岐爱,/e/ 高化,否
35.01,135.755,近畿,/e/ 高化,否
33.955,135.739,十津川,/e/ 高化,否
34.094,134.578,东四国,/e/ 高化,否
33.544,133.508,南四国,/e/ 高化,否
33.815,132.732,西四国,/e/ 高化,否
34.374,132.439,中国,/e/ 高化,否
33.163,131.671,东北九州（两丰）,/e/ 高化,否
32.334,131.605,东南九州（日向）,/e/ 高化,否
32.779,130.714,西九州（肥筑）,/e/ 高化,否
31.498,130.946,南九州（萨隅）,/e/ 高化,否
28.358,129.396,北琉球（奄美）,/e/ 高化,[ɨ]
26.22,127.715,北琉球（冲绳）,/e/ 高化,[ɨ]
24.794,125.293,南琉球（宫古）,/e/ 高化,[i]
24.345,124.159,南琉球（八重山）,/e/ 高化,[i]
41.286,141.212,下北半岛,/o/ 高化,否
40.195,141.762,东岩手,/o/ 高化,否
35.196,133.449,出云周边（东）,/o/ 高化,否
35.034,132.381,出云周边（西）,/o/ 高化,否
40.142,140.804,北东北,/o/ 高化,否
38.244,140.94,南东北,/o/ 高化,否
36.378,140.457,东关东,/o/ 高化,否
35.3606 ,132.7739 ,中央出云,/o/ 高化,否
34.7431 ,139.2376 ,北部伊豆,/o/ 高化,否
33.066,139.813,八丈,/o/ 高化,否
35.419,139.629,西关东,/o/ 高化,否
35.699,140.851,房总半岛,/o/ 高化,否
37.362,138.553,越后,/o/ 高化,否
36.398,138.251,长山东静,/o/ 高化,否
34.763,137.874,西静冈,/o/ 高化,否
36.699,137.205,富山,/o/ 高化,否
36.593,136.593,石川,/o/ 高化,否
35.471,136.777,岐爱,/o/ 高化,否
35.01,135.755,近畿,/o/ 高化,否
33.955,135.739,十津川,/o/ 高化,否
34.094,134.578,东四国,/o/ 高化,否
33.544,133.508,南四国,/o/ 高化,否
33.815,132.732,西四国,/o/ 高化,否
34.374,132.439,中国,/o/ 高化,否
33.163,131.671,东北九州（两丰）,/o/ 高化,否
32.334,131.605,东南九州（日向）,/o/ 高化,否
32.779,130.714,西九州（肥筑）,/o/ 高化,否
31.498,130.946,南九州（萨隅）,/o/ 高化,否
28.358,129.396,北琉球（奄美）,/o/ 高化,[u]
26.22,127.715,北琉球（冲绳）,/o/ 高化,[u]
24.794,125.293,南琉球（宫古）,/o/ 高化,[u]
24.345,124.159,南琉球（八重山）,/o/ 高化,[u]
41.286,141.212,下北半岛,/ki/ 颚化,否
40.195,141.762,东岩手,/ki/ 颚化,否
35.196,133.449,出云周边（东）,/ki/ 颚化,否
35.034,132.381,出云周边（西）,/ki/ 颚化,否
40.142,140.804,北东北,/ki/ 颚化,"[kɕi̥, tɕi̥]"
38.244,140.94,南东北,/ki/ 颚化,否
36.378,140.457,东关东,/ki/ 颚化,否
35.3606 ,132.7739 ,中央出云,/ki/ 颚化,"[kɕi̥, tɕi̥]"
34.7431 ,139.2376 ,北部伊豆,/ki/ 颚化,否
33.066,139.813,八丈,/ki/ 颚化,否
35.419,139.629,西关东,/ki/ 颚化,否
35.699,140.851,房总半岛,/ki/ 颚化,否
37.362,138.553,越后,/ki/ 颚化,否
36.398,138.251,长山东静,/ki/ 颚化,否
34.763,137.874,西静冈,/ki/ 颚化,否
36.699,137.205,富山,/ki/ 颚化,否
36.593,136.593,石川,/ki/ 颚化,否
35.471,136.777,岐爱,/ki/ 颚化,否
35.01,135.755,近畿,/ki/ 颚化,否
33.955,135.739,十津川,/ki/ 颚化,否
34.094,134.578,东四国,/ki/ 颚化,否
33.544,133.508,南四国,/ki/ 颚化,否
33.815,132.732,西四国,/ki/ 颚化,否
34.374,132.439,中国,/ki/ 颚化,否
33.163,131.671,东北九州（两丰）,/ki/ 颚化,否
32.334,131.605,东南九州（日向）,/ki/ 颚化,否
32.779,130.714,西九州（肥筑）,/ki/ 颚化,否
31.498,130.946,南九州（萨隅）,/ki/ 颚化,否
28.358,129.396,北琉球（奄美）,/ki/ 颚化,否
26.22,127.715,北琉球（冲绳）,/ki/ 颚化,否
24.794,125.293,南琉球（宫古）,/ki/ 颚化,否
24.345,124.159,南琉球（八重山）,/ki/ 颚化,否
41.286,141.212,下北半岛,调类合并,"2.1/2, 3.1/2"
40.195,141.762,东岩手,调类合并,"2.1/2, 3.1/2"
35.196,133.449,出云周边（东）,调类合并,"2.1/2, 3.1/2"
35.034,132.381,出云周边（西）,调类合并,"2.1/2, 3.1/2"
40.142,140.804,北东北,调类合并,"2.1/2, 3.1/2"
38.244,140.94,南东北,调类合并,无型声调
36.378,140.457,东关东,调类合并,无型声调
35.3606 ,132.7739 ,中央出云,调类合并,"2.1/2, 3.1/2"
34.7431 ,139.2376 ,北部伊豆,调类合并,"2.2/3, 3.2/4"
33.066,139.813,八丈,调类合并,无型声调
35.419,139.629,西关东,调类合并,"2.2/3, 3.2/4"
35.699,140.851,房总半岛,调类合并,"2.2/3, 3.2/4"
37.362,138.553,越后,调类合并,"2.2/3, 3.2/4"
36.398,138.251,长山东静,调类合并,"2.2/3, 3.2/4"
34.763,137.874,西静冈,调类合并,"2.1/2, 3.1/2"
36.699,137.205,富山,调类合并,"2.2/3, 3.2/4"
36.593,136.593,石川,调类合并,"2.2/3, 3.2/4"
35.471,136.777,岐爱,调类合并,"2.2/3, 3.2/4"
35.01,135.755,近畿,调类合并,"2.2/3, 3.2/4"
33.955,135.739,十津川,调类合并,"2.2/3, 3.2/4"
34.094,134.578,东四国,调类合并,"2.2/3, 3.2/4"
33.544,133.508,南四国,调类合并,"2.2/3, 3.2/4"
33.815,132.732,西四国,调类合并,"2.2/3, 3.2/4"
34.374,132.439,中国,调类合并,"2.2/3, 3.2/4"
33.163,131.671,东北九州（两丰）,调类合并,"2.1/2, 3.1/2"
32.334,131.605,东南九州（日向）,调类合并,无型声调
32.779,130.714,西九州（肥筑）,调类合并,"2.1/2, 3.1/2"
31.498,130.946,南九州（萨隅）,调类合并,"2.1/2, 3.1/2"
28.358,129.396,北琉球（奄美）,调类合并,"2.1/2, 3.1/2"
26.22,127.715,北琉球（冲绳）,调类合并,"2.1/2, 3.1/2"
24.794,125.293,南琉球（宫古）,调类合并,"2.1/2, 3.1/2"
24.345,124.159,南琉球（八重山）,调类合并,"2.1/2, 3.1/2"
41.286,141.212,下北半岛,/H/ 调移动,否
40.195,141.762,东岩手,/H/ 调移动,否
35.196,133.449,出云周边（东）,/H/ 调移动,否
35.034,132.381,出云周边（西）,/H/ 调移动,否
40.142,140.804,北东北,/H/ 调移动,右移（被高元音阻止）
38.244,140.94,南东北,/H/ 调移动,否
36.378,140.457,东关东,/H/ 调移动,否
35.3606 ,132.7739 ,中央出云,/H/ 调移动,右移（被高元音阻止）
34.7431 ,139.2376 ,北部伊豆,/H/ 调移动,否
33.066,139.813,八丈,/H/ 调移动,否
35.419,139.629,西关东,/H/ 调移动,否
35.699,140.851,房总半岛,/H/ 调移动,右移（被高元音阻止）
37.362,138.553,越后,/H/ 调移动,否
36.398,138.251,长山东静,/H/ 调移动,否
34.763,137.874,西静冈,/H/ 调移动,否
36.699,137.205,富山,/H/ 调移动,左移
36.593,136.593,石川,/H/ 调移动,左移（远离高元音和浊辅音）
35.471,136.777,岐爱,/H/ 调移动,否
35.01,135.755,近畿,/H/ 调移动,左移
