纬度,经度,地点,项目,形式
39.256,139.919,秋田県金浦町,方言点所属保守方言区,日本.出云-东北.北东北
39.106,140.536,秋田県稲川町,方言点所属保守方言区,日本.出云-东北.北东北
38.932,139.837,山形県酒田市,方言点所属保守方言区,日本.出云-东北.北东北
38.865,140.258,山形県真室川町,方言点所属保守方言区,日本.出云-东北.南东北
38.774,139.775,山形県鶴岡市,方言点所属保守方言区,日本.出云-东北.北东北
38.738,140.142,山形県戸沢村,方言点所属保守方言区,日本.出云-东北.南东北
38.73,140.49,山形県最上町,方言点所属保守方言区,日本.出云-东北.南东北
38.588,139.831,山形県朝日村,方言点所属保守方言区,日本.出云-东北.南东北
38.416,140.173,山形県西川町,方言点所属保守方言区,日本.出云-东北.南东北
38.243,140.331,山形県山形市,方言点所属保守方言区,日本.出云-东北.南东北
38.184,140.117,山形県白鷹町,方言点所属保守方言区,日本.出云-东北.南东北
38.088,139.731,山形県小国町,方言点所属保守方言区,日本.出云-东北.北东北
37.903,140.119,山形県米沢市,方言点所属保守方言区,日本.出云-东北.南东北
37.828,140.581,福島県保原町,方言点所属保守方言区,日本.出云-东北.南东北
37.783,140.947,福島県相馬市,方言点所属保守方言区,日本.出云-东北.南东北
37.773,140.512,福島県福島市,方言点所属保守方言区,日本.出云-东北.南东北
37.587,139.646,福島県西会津町,方言点所属保守方言区,日本.出云-东北.南东北
37.587,140.468,福島県二本松市,方言点所属保守方言区,日本.出云-东北.南东北
37.562,140.971,福島県小高町,方言点所属保守方言区,日本.出云-东北.南东北
37.555,140.757,福島県浪江町,方言点所属保守方言区,日本.出云-东北.南东北
37.554,140.068,福島県猪苗代町,方言点所属保守方言区,日本.出云-东北.南东北
37.468,140.008,福島県会津若松市,方言点所属保守方言区,日本.出云-东北.南东北
37.414,140.136,福島県郡山市,方言点所属保守方言区,日本.出云-东北.南东北
37.365,140.966,福島県富岡町,方言点所属保守方言区,日本.出云-东北.南东北
37.338,139.603,福島県昭和村,方言点所属保守方言区,日本.出云-东北.南东北
37.278,140.621,福島県小野町,方言点所属保守方言区,日本.出云-东北.南东北
37.189,139.659,福島県田島町,方言点所属保守方言区,日本.出云-东北.南东北
37.127,140.208,福島県白河市,方言点所属保守方言区,日本.出云-东北.南东北
37.022,139.386,福島県檜枝岐村,方言点所属保守方言区,日本.出云-东北.南东北
36.942,140.761,福島県いわき市,方言点所属保守方言区,日本.出云-东北.南东北
36.88,140.422,福島県矢祭町,方言点所属保守方言区,日本.出云-东北.南东北
36.828,140.795,茨城県北茨城市,方言点所属保守方言区,日本.出云-东北.东关东
36.655,140.285,茨城県美和村,方言点所属保守方言区,日本.出云-东北.东关东
36.602,140.661,茨城県日立市,方言点所属保守方言区,日本.出云-东北.东关东
36.459,140.556,茨城県東海村,方言点所属保守方言区,日本.出云-东北.东关东
36.378,140.457,茨城県水戸市,方言点所属保守方言区,日本.出云-东北.东关东
36.237,140.199,茨城県八郷町,方言点所属保守方言区,日本.出云-东北.东关东
36.162,139.964,茨城県千代川村,方言点所属保守方言区,日本.出云-东北.东关东
36.039,140.176,茨城県土浦市,方言点所属保守方言区,日本.出云-东北.东关东
35.886,140.668,茨城県神栖町,方言点所属保守方言区,日本.出云-东北.东关东
36.981,139.787,栃木県塩原町,方言点所属保守方言区,日本.出云-东北.东关东
36.918,140.142,栃木県黒羽町,方言点所属保守方言区,日本.出云-东北.东关东
36.717,139.688,栃木県今市市,方言点所属保守方言区,日本.出云-东北.东关东
36.696,139.996,栃木県氏家町,方言点所属保守方言区,日本.出云-东北.东关东
36.636,139.441,栃木県足尾町,方言点所属保守方言区,日本.出云-东北.东关东
36.554,139.611,栃木県粟野町,方言点所属保守方言区,日本.出云-东北.东关东
36.548,139.856,栃木県宇都宮市,方言点所属保守方言区,日本.出云-东北.东关东
36.443,139.927,栃木県上三川町,方言点所属保守方言区,日本.出云-东北.东关东
36.363,139.464,栃木県足利市,方言点所属保守方言区,日本.东日本.西关东
36.785,139.252,群馬県片品村,方言点所属保守方言区,日本.东日本.西关东
36.704,138.894,群馬県新治村,方言点所属保守方言区,日本.东日本.西关东
36.689,139.109,群馬県川場村,方言点所属保守方言区,日本.东日本.西关东
36.638,138.657,群馬県六合村,方言点所属保守方言区,日本.东日本.西关东
36.542,138.894,群馬県東村(吾妻郡),方言点所属保守方言区,日本.东日本.西关东
36.402,139.335,群馬県桐生市,方言点所属保守方言区,日本.东日本.西关东
36.389,139.082,群馬県前橋市,方言点所属保守方言区,日本.东日本.西关东
36.239,139.518,群馬県館林市,方言点所属保守方言区,日本.东日本.西关东
36.216,139.056,群馬県藤岡市,方言点所属保守方言区,日本.东日本.西关东
36.178,138.642,群馬県南牧村,方言点所属保守方言区,日本.东日本.西关东
36.192,139.177,埼玉県美里町,方言点所属保守方言区,日本.东日本.西关东
36.102,139.546,埼玉県騎西町,方言点所属保守方言区,日本.东日本.西关东
36.061,139.41,埼玉県東松山市,方言点所属保守方言区,日本.东日本.西关东
35.972,139.051,埼玉県秩父市,方言点所属保守方言区,日本.东日本.西关东
35.857,139.794,埼玉県草加市,方言点所属保守方言区,日本.东日本.西关东
35.834,139.43,埼玉県狭山市,方言点所属保守方言区,日本.东日本.西关东
35.954,139.858,千葉県野田市,方言点所属保守方言区,日本.东日本.房总半岛
35.906,140.405,千葉県神崎町,方言点所属保守方言区,日本.东日本.房总半岛
35.699,140.851,千葉県銚子市,方言点所属保守方言区,日本.东日本.房总半岛
35.682,140.316,千葉県八街市,方言点所属保守方言区,日本.东日本.房总半岛
35.535,140.115,千葉県市原市(八幡),方言点所属保守方言区,日本.东日本.房总半岛
35.404,140.373,千葉県長生村,方言点所属保守方言区,日本.东日本.房总半岛
35.316,139.822,千葉県富津市,方言点所属保守方言区,日本.东日本.房总半岛
35.258,140.163,千葉県市原市(戸面),方言点所属保守方言区,日本.东日本.房总半岛
35.021,139.951,千葉県丸山町,方言点所属保守方言区,日本.东日本.房总半岛
35.756,139.584,東京都練馬区,方言点所属保守方言区,日本.东日本.西关东
35.715,139.151,東京都檜原村,方言点所属保守方言区,日本.东日本.西关东
35.714,139.809,東京都墨田区,方言点所属保守方言区,日本.东日本.西关东
35.696,139.396,東京都立川市,方言点所属保守方言区,日本.东日本.西关东
35.622,139.719,東京都品川区,方言点所属保守方言区,日本.东日本.西关东
35.601,139.436,東京都町田市,方言点所属保守方言区,日本.东日本.西关东
34.787,139.392,東京都大島町,方言点所属保守方言区,日本.东日本.北部伊豆诸岛
33.894,139.592,東京都御蔵島村,方言点所属保守方言区,日本.东日本.北部伊豆诸岛
33.066,139.813,東京都八丈町,方言点所属保守方言区,日本.东日本.八丈
32.454,139.771,東京都青ヶ島村,方言点所属保守方言区,日本.东日本.八丈
27.099,142.197,東京都小笠原村,方言点所属保守方言区,日本.东日本.小笠原
35.545,139.129,神奈川県津久井町,方言点所属保守方言区,日本.东日本.西关东
35.435,139.367,神奈川県厚木市,方言点所属保守方言区,日本.东日本.西关东
35.419,139.629,神奈川県横浜市,方言点所属保守方言区,日本.东日本.西关东
35.298,139.187,神奈川県小田原市,方言点所属保守方言区,日本.东日本.西关东
35.143,139.622,神奈川県三浦市,方言点所属保守方言区,日本.东日本.西关东
38.464,139.252,新潟県粟島浦村,方言点所属保守方言区,日本.出云-东北.北东北
38.222,139.464,新潟県村上市,方言点所属保守方言区,日本.出云-东北.北东北
38.135,139.55,新潟県関川村,方言点所属保守方言区,日本.出云-东北.北东北
38.082,138.435,新潟県両津市,方言点所属保守方言区,日本.出云-东北.北东北
38.032,138.242,新潟県相川町,方言点所属保守方言区,日本.西日本.北陆
37.933,139.354,新潟県新発田市,方言点所属保守方言区,日本.出云-东北.北东北
37.917,139.027,新潟県新潟市,方言点所属保守方言区,日本.东日本.越后
37.764,138.884,新潟県巻町,方言点所属保守方言区,日本.东日本.越后
37.749,139.205,新潟県五泉市,方言点所属保守方言区,日本.东日本.越后
37.678,139.46,新潟県津川町,方言点所属保守方言区,日本.出云-东北.南东北
37.56,139.048,新潟県下田村,方言点所属保守方言区,日本.东日本.越后
37.421,138.897,新潟県長岡市,方言点所属保守方言区,日本.东日本.越后
37.362,138.553,新潟県柏崎市,方言点所属保守方言区,日本.东日本.越后
37.354,139.065,新潟県入広瀬村,方言点所属保守方言区,日本.东日本.越后
37.238,138.915,新潟県堀之内町,方言点所属保守方言区,日本.东日本.越后
37.125,138.23,新潟県上越市,方言点所属保守方言区,日本.东日本.越后
37.098,138.622,新潟県松之山町,方言点所属保守方言区,日本.东日本.越后
37.022,138.847,新潟県塩沢町,方言点所属保守方言区,日本.东日本.越后
37.005,138.629,新潟県津南町,方言点所属保守方言区,日本.东日本.越后
36.933,137.907,新潟県糸魚川市,方言点所属保守方言区,日本.东日本.越后
36.913,138.846,新潟県湯沢町,方言点所属保守方言区,日本.东日本.越后
36.958,137.567,富山県朝日町,方言点所属保守方言区,日本.西日本.北陆
36.895,137.005,富山県氷見市,方言点所属保守方言区,日本.西日本.北陆
36.751,137.005,富山県高岡市,方言点所属保守方言区,日本.西日本.北陆
36.699,137.205,富山県富山市,方言点所属保守方言区,日本.西日本.北陆
36.655,136.849,富山県小矢部市,方言点所属保守方言区,日本.西日本.北陆
36.606,136.97,富山県庄川町,方言点所属保守方言区,日本.西日本.北陆
36.582,137.393,富山県立山町,方言点所属保守方言区,日本.西日本.北陆
36.575,137.133,富山県八尾町,方言点所属保守方言区,日本.西日本.北陆
36.443,136.974,富山県平村,方言点所属保守方言区,日本.西日本.北陆
36.435,137.011,富山県利賀村,方言点所属保守方言区,日本.西日本.北陆
37.444,137.283,石川県珠洲市,方言点所属保守方言区,日本.西日本.北陆
37.375,136.803,石川県輪島市,方言点所属保守方言区,日本.西日本.北陆
37.062,136.89,石川県田鶴浜町,方言点所属保守方言区,日本.西日本.北陆
36.898,136.779,石川県羽咋市,方言点所属保守方言区,日本.西日本.北陆
36.593,136.593,石川県金沢市,方言点所属保守方言区,日本.西日本.北陆
36.465,136.589,石川県川北町,方言点所属保守方言区,日本.西日本.北陆
36.426,136.452,石川県小松市,方言点所属保守方言区,日本.西日本.北陆
36.31,136.31,石川県加賀市,方言点所属保守方言区,日本.西日本.北陆
36.175,136.625,石川県白峰村,方言点所属保守方言区,日本.西日本.北陆
36.161,136.263,福井県丸岡町,方言点所属保守方言区,日本.西日本.北陆
36.061,136.499,福井県勝山市,方言点所属保守方言区,日本.西日本.北陆
36.021,136.275,福井県福井市,方言点所属保守方言区,日本.西日本.北陆
36.005,136.463,福井県大野市,方言点所属保守方言区,日本.西日本.北陆
35.858,136.096,福井県武生市,方言点所属保守方言区,日本.西日本.北陆
35.654,136.044,福井県敦賀市,方言点所属保守方言区,日本.西日本.近畿
35.565,135.863,福井県三方町,方言点所属保守方言区,日本.西日本.近畿
35.447,135.821,福井県小浜市,方言点所属保守方言区,日本.西日本.近畿
35.406,135.657,福井県名田庄村,方言点所属保守方言区,日本.西日本.近畿
35.858,138.394,山梨県大泉村,方言点所属保守方言区,日本.东日本.长山静
35.713,138.669,山梨県山梨市,方言点所属保守方言区,日本.东日本.长山静
35.689,138.486,山梨県双葉町,方言点所属保守方言区,日本.东日本.长山静
35.671,138.572,山梨県甲府市,方言点所属保守方言区,日本.东日本.长山静
35.61,138.905,山梨県大月市,方言点所属保守方言区,日本.东日本.长山静
35.576,138.302,山梨県早川町,方言点所属保守方言区,日本.东日本.长山静
35.554,138.91,山梨県都留市,方言点所属保守方言区,日本.东日本.长山静
35.494,138.801,山梨県富士吉田市,方言点所属保守方言区,日本.东日本.长山静
36.829,138.624,長野県栄村,方言点所属保守方言区,日本.东日本.长山静
36.795,137.912,長野県小谷村,方言点所属保守方言区,日本.东日本.长山静
36.741,138.378,長野県中野市,方言点所属保守方言区,日本.东日本.长山静
36.645,138.186,長野県長野市,方言点所属保守方言区,日本.东日本.长山静
36.614,137.989,長野県小川村,方言点所属保守方言区,日本.东日本.长山静
36.507,137.857,長野県大町市,方言点所属保守方言区,日本.东日本.长山静
36.44,138.194,長野県坂城町,方言点所属保守方言区,日本.东日本.长山静
36.398,138.251,長野県上田市,方言点所属保守方言区,日本.东日本.长山静
36.225,137.921,長野県松本市,方言点所属保守方言区,日本.东日本.长山静
36.119,138.481,長野県八千穂村,方言点所属保守方言区,日本.东日本.长山静
36.049,138.227,長野県茅野市,方言点所属保守方言区,日本.东日本.长山静
35.96,137.587,長野県開田村,方言点所属保守方言区,日本.东日本.长山静
35.932,137.953,長野県箕輪町,方言点所属保守方言区,日本.东日本.长山静
35.848,137.695,長野県木曽福島町,方言点所属保守方言区,日本.东日本.长山静
35.563,137.623,長野県南木曽町,方言点所属保守方言区,日本.东日本.长山静
35.431,137.867,長野県飯田市,方言点所属保守方言区,日本.东日本.长山静
35.271,137.711,長野県売木村,方言点所属保守方言区,日本.东日本.长山静
36.396,137.378,岐阜県神岡町,方言点所属保守方言区,日本.东日本.岐爱
36.163,136.908,岐阜県白川村,方言点所属保守方言区,日本.东日本.岐爱
36.147,137.257,岐阜県高山市,方言点所属保守方言区,日本.东日本.岐爱
35.915,137.2,岐阜県萩原町,方言点所属保守方言区,日本.东日本.岐爱
35.814,136.897,岐阜県大和町,方言点所属保守方言区,日本.东日本.岐爱
35.61,137.253,岐阜県白川町,方言点所属保守方言区,日本.东日本.岐爱
35.603,136.41,岐阜県坂内村,方言点所属保守方言区,日本.东日本.岐爱
35.571,137.456,岐阜県福岡町,方言点所属保守方言区,日本.东日本.岐爱
35.471,136.777,岐阜県岐阜市,方言点所属保守方言区,日本.东日本.岐爱
35.469,136.598,岐阜県揖斐川町,方言点所属保守方言区,日本.东日本.岐爱
35.451,137.056,岐阜県美濃加茂市,方言点所属保守方言区,日本.东日本.岐爱
35.382,137.265,岐阜県瑞浪市,方言点所属保守方言区,日本.东日本.岐爱
35.368,136.529,岐阜県垂井町,方言点所属保守方言区,日本.东日本.岐爱
35.304,137.412,岐阜県明智町,方言点所属保守方言区,日本.东日本.岐爱
35.223,136.67,岐阜県海津町,方言点所属保守方言区,日本.东日本.岐爱
35.298,138.928,静岡県御殿場市,方言点所属保守方言区,日本.东日本.长山静
35.269,138.624,静岡県富士宮市,方言点所属保守方言区,日本.东日本.长山静
35.224,138.241,静岡県静岡市(井川),方言点所属保守方言区,日本.东日本.长山静
35.156,137.876,静岡県水窪町,方言点所属保守方言区,日本.东日本.长山静
35.132,138.774,静岡県沼津市,方言点所属保守方言区,日本.东日本.长山静
35.11,138.56,静岡県由比町,方言点所属保守方言区,日本.东日本.长山静
35.068,138.106,静岡県中川根町,方言点所属保守方言区,日本.东日本.长山静
34.972,137.736,静岡県天竜市,方言点所属保守方言区,日本.东日本.长山静
34.972,139.111,静岡県伊東市,方言点所属保守方言区,日本.东日本.长山静
34.964,138.428,静岡県静岡市(大谷),方言点所属保守方言区,日本.东日本.长山静
34.885,138.947,静岡県天城湯ヶ島町,方言点所属保守方言区,日本.东日本.长山静
34.763,137.874,静岡県磐田市,方言点所属保守方言区,日本.东日本.长山静
34.756,138.859,静岡県松崎町,方言点所属保守方言区,日本.东日本.长山静
34.698,137.631,静岡県雄踏町,方言点所属保守方言区,日本.东日本.长山静
35.287,136.921,愛知県小牧市,方言点所属保守方言区,日本.东日本.岐爱
35.192,136.736,愛知県佐織町,方言点所属保守方言区,日本.东日本.岐爱
35.179,137.107,愛知県豊田市,方言点所属保守方言区,日本.东日本.岐爱
35.172,137.353,愛知県足助町,方言点所属保守方言区,日本.东日本.岐爱
35.12,136.834,愛知県名古屋市,方言点所属保守方言区,日本.东日本.岐爱
35.112,137.663,愛知県東栄町,方言点所属保守方言区,日本.东日本.岐爱
35.047,137.457,愛知県作手村,方言点所属保守方言区,日本.东日本.岐爱
34.966,137.175,愛知県岡崎市,方言点所属保守方言区,日本.东日本.岐爱
34.893,137.012,愛知県碧南市,方言点所属保守方言区,日本.东日本.岐爱
34.759,137.401,愛知県豊橋市,方言点所属保守方言区,日本.东日本.岐爱
34.707,136.94,愛知県南知多町,方言点所属保守方言区,日本.东日本.岐爱
34.626,137.094,愛知県渥美町,方言点所属保守方言区,日本.东日本.岐爱
35.13,136.511,三重県北勢町,方言点所属保守方言区,日本.西日本.近畿
34.905,136.547,三重県鈴鹿市,方言点所属保守方言区,日本.西日本.近畿
34.765,136.129,三重県上野市,方言点所属保守方言区,日本.西日本.近畿
34.659,136.363,三重県白山町,方言点所属保守方言区,日本.西日本.近畿
34.559,136.528,三重県松阪市,方言点所属保守方言区,日本.西日本.近畿
34.442,136.879,三重県鳥羽市,方言点所属保守方言区,日本.西日本.近畿
34.38,136.369,三重県宮川村,方言点所属保守方言区,日本.西日本.近畿
34.364,136.71,三重県南勢町,方言点所属保守方言区,日本.西日本.近畿
34.2,136.336,三重県紀伊長島町,方言点所属保守方言区,日本.西日本.近畿
34.073,136.199,三重県尾鷲市,方言点所属保守方言区,日本.西日本.近畿
33.943,136.097,三重県熊野市,方言点所属保守方言区,日本.西日本.近畿
35.531,136.187,滋賀県余呉町,方言点所属保守方言区,日本.西日本.近畿
35.432,136.022,滋賀県今津町,方言点所属保守方言区,日本.西日本.近畿
35.386,136.266,滋賀県長浜市,方言点所属保守方言区,日本.西日本.近畿
35.251,136.266,滋賀県彦根市,方言点所属保守方言区,日本.西日本.近畿
35.136,136.092,滋賀県近江八幡市,方言点所属保守方言区,日本.西日本.近畿
35.065,135.873,滋賀県大津市,方言点所属保守方言区,日本.西日本.近畿
34.877,136.054,滋賀県信楽町,方言点所属保守方言区,日本.西日本.近畿
35.645,134.901,京都府久美浜町,方言点所属保守方言区,日本.西日本.中国
35.625,135.071,京都府峰山町,方言点所属保守方言区,日本.西日本.中国
35.531,135.08,京都府野田川町,方言点所属保守方言区,日本.西日本.中国
35.527,135.192,京都府宮津市,方言点所属保守方言区,日本.西日本.中国
35.527,135.418,京都府舞鶴市,方言点所属保守方言区,日本.西日本.中国
35.307,135.721,京都府美山町,方言点所属保守方言区,日本.西日本.近畿
35.291,135.127,京都府福知山市,方言点所属保守方言区,日本.西日本.近畿
35.178,135.399,京都府丹波町,方言点所属保守方言区,日本.西日本.近畿
35.011,135.579,京都府亀岡市,方言点所属保守方言区,日本.西日本.近畿
35.01,135.755,京都府京都市,方言点所属保守方言区,日本.西日本.近畿
34.798,135.812,京都府井手町,方言点所属保守方言区,日本.西日本.近畿
34.989,135.478,大阪府能勢町,方言点所属保守方言区,日本.西日本.近畿
34.807,135.565,大阪府茨木市,方言点所属保守方言区,日本.西日本.近畿
34.792,135.732,大阪府枚方市,方言点所属保守方言区,日本.西日本.近畿
34.698,135.515,大阪府大阪市,方言点所属保守方言区,日本.西日本.近畿
34.677,135.601,大阪府東大阪市,方言点所属保守方言区,日本.西日本.近畿
34.518,135.464,大阪府堺市,方言点所属保守方言区,日本.西日本.近畿
34.48,135.604,大阪府富田林市,方言点所属保守方言区,日本.西日本.近畿
34.46,135.367,大阪府岸和田市,方言点所属保守方言区,日本.西日本.近畿
34.394,135.467,大阪府和泉市,方言点所属保守方言区,日本.西日本.近畿
34.362,135.243,大阪府阪南市,方言点所属保守方言区,日本.西日本.近畿
35.548,134.825,兵庫県豊岡市,方言点所属保守方言区,日本.西日本.中国
35.523,134.489,兵庫県温泉町,方言点所属保守方言区,日本.西日本.中国
35.283,134.983,兵庫県青垣町,方言点所属保守方言区,日本.西日本.中国
35.249,134.798,兵庫県朝来町,方言点所属保守方言区,日本.西日本.中国
35.202,134.63,兵庫県一宮町(宍粟郡),方言点所属保守方言区,日本.西日本.近畿
35.06,135.169,兵庫県丹南町,方言点所属保守方言区,日本.西日本.近畿
34.844,134.708,兵庫県姫路市,方言点所属保守方言区,日本.西日本.近畿
34.798,135.371,兵庫県宝塚市,方言点所属保守方言区,日本.西日本.近畿
34.777,134.433,兵庫県赤穂市,方言点所属保守方言区,日本.西日本.近畿
34.74,135.393,兵庫県尼崎市,方言点所属保守方言区,日本.西日本.近畿
34.66,135.128,兵庫県神戸市,方言点所属保守方言区,日本.西日本.近畿
34.546,134.925,兵庫県北淡町,方言点所属保守方言区,日本.西日本.近畿
34.365,134.762,兵庫県五色町,方言点所属保守方言区,日本.西日本.近畿
34.287,134.946,兵庫県洲本市,方言点所属保守方言区,日本.西日本.近畿
34.681,136.048,奈良県山添村,方言点所属保守方言区,日本.西日本.近畿
34.68,135.83,奈良県奈良市,方言点所属保守方言区,日本.西日本.近畿
34.511,135.742,奈良県大和高田市,方言点所属保守方言区,日本.西日本.近畿
34.484,135.933,奈良県大宇陀町,方言点所属保守方言区,日本.西日本.近畿
34.436,135.802,奈良県高取町,方言点所属保守方言区,日本.西日本.近畿
34.271,135.882,奈良県天川村,方言点所属保守方言区,日本.西日本.近畿
34.11,135.623,奈良県野迫川村,方言点所属保守方言区,日本.西日本.近畿
33.955,135.739,奈良県十津川村,方言点所属保守方言区,日本.西日本.近畿
34.296,135.487,和歌山県かつらぎ町,方言点所属保守方言区,日本.西日本.近畿
34.209,135.225,和歌山県和歌山市,方言点所属保守方言区,日本.西日本.近畿
34.083,135.43,和歌山県清水町,方言点所属保守方言区,日本.西日本.近畿
33.898,135.531,和歌山県龍神村,方言点所属保守方言区,日本.西日本.近畿
33.881,135.158,和歌山県御坊市,方言点所属保守方言区,日本.西日本.近畿
